Family,Kids,Father(cm),mother(cm),Gender,Height(cm)
52,2,178,171,F,176
53,2,167,163,F,157
53,2,167,163,F,160
54,3,178,166,F,168
54,3,178,166,F,165
54,3,178,166,M,187
55,2,167,152,F,161
55,2,167,152,M,170
56,2,173,162,F,165
56,2,173,162,F,163
57,2,169,155,F,155
57,2,169,155,F,155
58,3,175,168,F,163
58,3,175,168,M,177
58,3,175,168,M,177
59,1,178,163,F,164
60,2,180,157,F,163
60,2,180,157,M,178
61,1,172,158,F,162
62,2,173,162,F,163
62,2,173,162,M,174
63,2,175,165,M,178
63,2,175,165,M,176
64,2,160,160,F,156
64,2,160,160,M,173
65,2,178,165,M,177
65,2,178,165,F,167
66,2,164,165,F,158
66,2,164,165,M,167
67,2,178,158,F,164
67,2,178,158,M,185
68,3,170,159,F,163
68,3,170,159,F,159
68,3,170,159,F,165
69,2,176,164,M,178
69,2,176,164,M,185
70,2,172,166,M,175
70,2,172,166,M,176
71,3,173,158,F,165
71,3,173,158,F,157
71,3,173,158,F,162
72,2,182,160,M,186
72,2,182,160,M,180
73,2,175,168,M,177
73,2,175,168,M,177
74,3,172,154,F,162
74,3,172,154,F,162
74,3,172,154,F,162
75,2,177,157,M,174
75,2,177,157,M,180
76,2,171,164,F,156
76,2,171,164,M,182
77,1,173,163,M,187
78,2,168,155,M,173
78,2,168,155,F,160
79,2,168,160,M,179
79,2,168,160,M,177
80,2,172,158,F,162
80,2,172,158,M,175
81,2,185,164,F,160
81,2,185,164,M,182
82,1,176,154,F,167
83,2,173,160,F,166
83,2,173,160,F,163
84,1,172,168,F,167
85,2,172,158,M,173
85,2,172,158,M,172
86,2,168,158,M,179
86,2,168,158,F,154
87,2,170,159,F,159
87,2,170,159,F,158
88,3,175,160,F,155
88,3,175,160,F,156
88,3,175,160,M,173
89,2,183,160,M,184
89,2,183,160,F,170
90,2,178,160,F,161
90,2,178,160,F,160
91,2,168,157,F,164
91,2,168,157,F,158
92,2,184,168,F,166
92,2,184,168,M,187
93,2,178,157,F,163
93,2,178,157,F,159
94,2,175,165,F,160
94,2,175,165,F,158
95,2,178,160,F,164
95,2,178,160,F,171
96,2,174,156,F,157
96,2,174,156,F,162
97,2,173,168,F,170
97,2,173,168,M,178
98,1,183,163,M,180
99,2,179,171,M,178
99,2,179,171,F,163
100,2,171,163,F,165
100,2,171,163,M,174
101,3,174,164,F,173
101,3,174,164,M,175
101,3,174,164,F,165
102,3,176,158,F,157
102,3,176,158,F,156
102,3,176,158,M,174
103,2,184,163,F,166
103,2,184,163,M,178
104,2,177,157,F,158
104,2,177,157,M,178
105,2,170,151,F,158
105,2,170,151,F,154
106,1,174,160,F,163
107,2,171,152,F,165
107,2,171,152,F,158
108,2,170,156,F,158
108,2,170,156,M,178
109,2,175,165,M,180
109,3,175,165,M,180
110,3,175,158,F,164
110,3,175,158,F,160
110,3,175,158,M,180
111,2,183,164,M,175
112,3,172,160,F,170
112,3,172,160,F,162
112,3,172,160,M,178
113,1,172,159,M,171
114,2,181,160,M,177
114,2,181,160,M,180
115,2,177,159,M,180
115,2,177,159,F,167
116,2,172,160,F,163
116,2,172,160,M,175
117,1,180,154,M,180
118,1,170,158,M,175
119,2,173,155,F,164
119,2,173,155,M,174
120,2,179,155,F,169
120,2,179,155,M,173
121,3,166,161,F,161
121,3,166,161,M,174
121,3,166,161,F,159
122,2,172,164,F,168
122,2,172,164,M,174
123,1,167,158,M,174
124,2,188,165,M,186
124,2,188,165,F,173
125,2,177,159,M,174
125,2,177,159,F,160
126,2,168,164,M,169
126,2,168,164,F,170
127,1,165,150,M,172
128,1,177,160,F,171
129,2,179,155,F,165
129,2,179,155,M,181
130,3,186,163,M,180
130,3,186,163,F,161
130,3,186,163,F,164
131,2,163,157,M,177
131,2,163,157,M,172
132,2,174,152,F,171
132,2,174,152,F,164
133,1,172,162,F,168
134,2,178,165,M,179
134,2,178,165,F,163
135,2,173,160,F,169
135,2,173,160,F,158
136,2,170,170,M,174
136,2,170,170,M,184
137,1,181,168,F,168
138,2,171,154,F,160
138,2,171,154,M,170
